mm_lluvia|3d_num_sin|4d_num_sin|5d_num_sin|6d_num_sin|7d_num_sin|8d_num_sin|9d_num_sin|10d_num_sin|11d_num_sin|12d_num_sin|13d_num_sin|14d_num_sin|15d_num_sin|2_dias|3_dias|4_dias|5_dias|6_dias|7_dias|8_dias|9_dias|10_dias|11_dias|12_dias|13_dias|14_dias|15_dias
0.1|1|2|3|3|3|3|3|4|4|4|4|4|4|1.50|1.50|1.50|1.50|1.60|3.40|5.20|21.60|21.60|21.70|23.80|25.20|26.20|28.90
3|0|1|2|3|3|3|3|3|4|4|4|4|4|3.10|4.50|4.50|4.50|4.50|4.60|6.40|8.20|24.60|24.60|24.70|26.80|28.20|29.20
13.5|0|0|1|2|3|3|3|3|3|4|4|4|4|16.50|16.60|18.00|18.00|18.00|18.00|18.10|19.90|21.70|38.10|38.10|38.20|40.30|41.70
4.7|0|0|0|1|2|3|3|3|3|3|4|4|4|18.20|21.20|21.30|22.70|22.70|22.70|22.70|22.80|24.60|26.40|42.80|42.80|42.90|45.00
0.4|0|0|0|0|1|2|3|3|3|3|3|4|4|5.10|18.60|21.60|21.70|23.10|23.10|23.10|23.10|23.20|25.00|26.80|43.20|43.20|43.30
7.6|0|0|0|0|0|1|2|3|3|3|3|3|4|8.00|12.70|26.20|29.20|29.30|30.70|30.70|30.70|30.70|30.80|32.60|34.40|50.80|50.80
0.1|0|0|0|0|0|0|1|2|3|3|3|3|3|7.70|8.10|12.80|26.30|29.30|29.40|30.80|30.80|30.80|30.80|30.90|32.70|34.50|50.90
11.2|0|0|0|0|0|0|0|1|2|3|3|3|3|11.30|18.90|19.30|24.00|37.50|40.50|40.60|42.00|42.00|42.00|42.00|42.10|43.90|45.70
0.1|0|0|0|0|0|0|0|0|1|2|3|3|3|11.30|11.40|19.00|19.40|24.10|37.60|40.60|40.70|42.10|42.10|42.10|42.10|42.20|44.00
0|1|1|1|1|1|1|1|1|1|2|3|4|4|0.10|11.30|11.40|19.00|19.40|24.10|37.60|40.60|40.70|42.10|42.10|42.10|42.10|42.20
1.6|1|1|1|1|1|1|1|1|1|1|2|3|4|1.60|1.70|12.90|13.00|20.60|21.00|25.70|39.20|42.20|42.30|43.70|43.70|43.70|43.70
0|2|2|2|2|2|2|2|2|2|2|2|3|4|1.60|1.60|1.70|12.90|13.00|20.60|21.00|25.70|39.20|42.20|42.30|43.70|43.70|43.70
0|2|3|3|3|3|3|3|3|3|3|3|3|4|0.00|1.60|1.60|1.70|12.90|13.00|20.60|21.00|25.70|39.20|42.20|42.30|43.70|43.70
1.1|2|2|3|3|3|3|3|3|3|3|3|3|3|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10|26.80|40.30|43.30|43.40|44.80
0|2|3|3|4|4|4|4|4|4|4|4|4|4|1.10|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10|26.80|40.30|43.30|43.40
0|2|3|4|4|5|5|5|5|5|5|5|5|5|0.00|1.10|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10|26.80|40.30|43.30
0|3|3|4|5|5|6|6|6|6|6|6|6|6|0.00|0.00|1.10|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10|26.80|40.30
0|3|4|4|5|6|6|7|7|7|7|7|7|7|0.00|0.00|0.00|1.10|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10|26.80
0|3|4|5|5|6|7|7|8|8|8|8|8|8|0.00|0.00|0.00|0.00|1.10|1.10|1.10|2.70|2.70|2.80|14.00|14.10|21.70|22.10
10.3|2|3|4|5|5|6|7|7|8|8|8|8|8|10.30|10.30|10.30|10.30|10.30|11.40|11.40|11.40|13.00|13.00|13.10|24.30|24.40|32.00
24.2|1|2|3|4|5|5|6|7|7|8|8|8|8|34.50|34.50|34.50|34.50|34.50|34.50|35.60|35.60|35.60|37.20|37.20|37.30|48.50|48.60
4.8|0|1|2|3|4|5|5|6|7|7|8|8|8|29.00|39.30|39.30|39.30|39.30|39.30|39.30|40.40|40.40|40.40|42.00|42.00|42.10|53.30
0|1|1|2|3|4|5|6|6|7|8|8|9|9|4.80|29.00|39.30|39.30|39.30|39.30|39.30|39.30|40.40|40.40|40.40|42.00|42.00|42.10
0|2|2|2|3|4|5|6|7|7|8|9|9|10|0.00|4.80|29.00|39.30|39.30|39.30|39.30|39.30|39.30|40.40|40.40|40.40|42.00|42.00
0|3|3|3|3|4|5|6|7|8|8|9|10|10|0.00|0.00|4.80|29.00|39.30|39.30|39.30|39.30|39.30|39.30|40.40|40.40|40.40|42.00
